Time_Epoch,transmitted_latitude (deg),transmitted_longitude (deg),transmitted_heading (deg),transmitted_speed (km/hr),transmitted_altitude (m),latitude_self (deg),longitude_self (deg),Self_speed (km/hr),Self_heading (degrees),Self_Altitude (m),distance (m),latency (ms),throughput (bits/sec),data_size (kb),Packet_Error_Rate,Transmission_Time (ms),Transmission_Frequency (Hz),Configuration,Channel,Bandwidth,Modulation,Tx/Rx Configuration,Device Details,Tx Power (dB),Receiver Gain (dB),Path_Loss (dB),ERP (dBm),Rx_Power (dBm),Noise_Power (dBm),SNR (dB),scenario,RSSI_antenna1 (dBm),RSSI_antenna2 (dBm)
18-05-2024 03:41,17.5375381,78.2415087,90,60.28877027,518.434,17.5385305,78.2371658,64.20686956,104.2896065,547.7642758,474.0177639,0.4446215,2950.824465,164,0.070418497,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,161.397642,-135.397642,-296.7952839,-347.2897843,50.49450035,S1,-97,-105
18-05-2024 03:41,17.5375164,78.2416414,99.28719199,57.37298403,518.387,17.5385305,78.2371658,64.76931391,82.4852552,490.4254395,488.2814386,0.4247565,3333.674705,177,0.11186555,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,161.6551539,-135.6551539,-297.3103079,-347.2897843,49.97947643,S1,-99,-108
18-05-2024 03:41,17.5374934,78.2417742,90,48.70679384,518.358,17.5385303,78.2371661,68.91671993,72.16533017,543.3643268,502.5538927,0.4165605,3149.602519,164,0.044665205,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,161.9054024,-135.9054024,-297.8108049,-347.2897843,49.47897939,S1,-97,-102
18-05-2024 03:41,17.5374441,78.2420406,90,77.38082732,509.437,17.5385301,78.2371665,69.50355307,73.60264271,531.4817535,531.2930712,0.4145475,3164.896664,164,0.092033881,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,162.3884327,-136.3884327,-298.7768653,-347.2897843,48.51291896,S1,-98,-105
18-05-2024 03:41,17.5373768,78.2422904,90,75.56338185,510.628,17.5385301,78.2371666,65.16520859,106.8084114,538.267718,558.8047592,0.4270645,3072.135474,164,0.114735007,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,162.8269515,-136.8269515,-299.6539031,-347.2897843,47.63588119,S1,-95,-108
18-05-2024 03:41,17.5373058,78.2424768,113.7990114,52.84305281,517.984,17.5385301,78.2371666,64.82113963,96.76021857,541.5908898,579.8764452,0.3880755,3648.77453,177,0.073176226,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,163.148459,-137.148459,-300.296918,-347.2897843,46.99286633,S1,-91,-105
18-05-2024 03:41,17.5373058,78.2424768,90,42.66501345,517.984,17.5385301,78.2371668,60.47680421,101.1177263,545.430558,579.8557976,0.4437005,2938.919384,163,0.020377714,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,163.1481497,-137.1481497,-300.2962994,-347.2897843,46.99348489,S1,-91,-108
18-05-2024 03:41,17.537283,78.2425456,108.3349563,52.83459382,518.018,17.5385295,78.2371673,62.09892304,125.3864708,497.9540369,587.481527,0.4365305,3225.433274,176,0.035992923,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,163.2616339,-137.2616339,-300.5232678,-347.2897843,46.76651644,S1,-96,-103
18-05-2024 03:41,17.5372689,78.2425883,108.2737797,53.2963415,518.028,17.5385295,78.2371673,67.98657707,126.5025797,488.4409995,592.2551711,0.5050065,2803.924306,177,0.113445875,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,163.3319268,-137.3319268,-300.6638537,-347.2897843,46.62593059,S1,-97,-108
18-05-2024 03:41,17.5372689,78.2425883,90,79.26362983,518.028,17.5385292,78.2371684,62.89387328,106.3437474,488.5598959,592.1338418,0.4040185,3227.574975,163,0.080354001,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,163.3301473,-137.3301473,-300.6602945,-347.2897843,46.62948974,S1,-94,-105
18-05-2024 03:41,17.5372404,78.2426656,90,54.38430752,518.228,17.5385283,78.2371698,64.37159997,74.6905602,493.1541303,600.6864788,0.4186235,3114.970851,163,0.052592248,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,163.4547067,-137.4547067,-300.9094135,-347.2897843,46.38037079,S1,-92,-108
