time_epoch,transmitted_latitude ,transmitted_longitude ,transmitted_heading ,transmitted_altitude ,transmitted_count ,transmitted_speed (km/hr) ,transmitted_pressure,transmitted_temperature,transmitted_humidity,transmitted_condition,Self_speed (km/hr) ,Self_heading (degrees) ,Self_Altitude (m),latency (ms) ,data_size (kb) ,throughput (bits/sec) ,latitude_self ,longitude_self ,distance (m) ,Configuration ,Channel ,Bandwidth ,Modulation ,Tx/Rx Configuration ,Device Details ,Tx Power (dB) ,Receiver Gain (dBi) ,distance_km ,Path_Loss (dB) ,ERP (dBm) ,Rx_Power (dBm) ,Noise_Power (dBm) ,SNR (dB) ,Packet_Error_Rate ,scenario,RSSI_antenna1,RSSI_antenna2
22-05-2024 15:56,17.6013512,78.1270703,98,486,54,0,94877,29,39,SUNNY,69.81633709,102.7405592,462.3910374,0.2281495,175,6136.327277,17.6018871,78.1270893,59.3454828,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.059345483,143.349503,-117.349503,-260.699006,-347.2897843,86.5907783,0.002607027,I2V-S1,-92,-103
22-05-2024 15:56,17.6013512,78.1270715,98,486,55,0,94877,29,39,SUNNY,62.18869933,79.22063862,456.8571071,0.2534595,162,5113.242944,17.6018382,78.1270844,53.91654529,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.053916545,142.5161908,-116.5161908,-259.0323816,-347.2897843,88.2574027,0.016210724,I2V-S1,-94,-103
22-05-2024 15:56,17.6013512,78.1270715,98,486,55,0,94877,29,39,SUNNY,64.40833795,78.86216352,508.3136511,0.3271825,162,3961.092051,17.6017876,78.1270786,48.30483568,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.048304836,141.5615618,-115.5615618,-257.1231236,-347.2897843,90.1666607,0.089718279,I2V-S1,-94,-105
22-05-2024 15:56,17.6013512,78.1270715,98,486,56,0,94877,29,39,SUNNY,68.63489417,108.0020785,511.0623973,0.2145635,162,6040.169926,17.6017876,78.1270786,48.30483568,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.048304836,141.5615618,-115.5615618,-257.1231236,-347.2897843,90.1666607,0.0597078,I2V-S1,-94,-108
22-05-2024 15:56,17.601351,78.1270727,98,486,57,0,94877,29,39,SUNNY,65.00697543,85.27342998,464.4635594,0.2132935,174,6526.218567,17.6017396,78.1270744,43.00902797,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.043009028,140.5529422,-114.5529422,-255.1058844,-347.2897843,92.1838999,0.052521735,I2V-S1,-94,-103
22-05-2024 15:56,17.601351,78.1270738,98,486,58,0,94877,29,39,SUNNY,61.15178262,100.6718521,462.504452,0.1856185,160,6895.864367,17.6016923,78.1270709,37.77493404,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.037774934,139.4258239,-113.4258239,-252.8516478,-347.2897843,94.4381365,0.02871194,I2V-S1,-97,-105
22-05-2024 15:56,17.601351,78.1270738,98,486,59,0,94877,29,39,SUNNY,68.32561019,106.7644849,460.9226429,0.1992095,160,6425.396379,17.6016923,78.1270709,37.77493404,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.037774934,139.4258239,-113.4258239,-252.8516478,-347.2897843,94.4381365,0.052759235,I2V-S1,-98,-103
22-05-2024 15:56,17.6013509,78.1270749,98,486,60,0,94877,29,39,SUNNY,62.4408071,79.27673076,464.7583479,0.1644585,175,8512.7859,17.6016458,78.1270679,32.64677432,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.032646774,138.1585552,-112.1585552,-250.3171104,-347.2897843,96.9726739,0.009822924,I2V-S1,-91,-101
22-05-2024 15:56,17.6013507,78.1270758,98,486,61,0,94877,29,39,SUNNY,68.86764761,115.6041307,456.0542725,0.2072925,175,6753.741694,17.6016011,78.1270648,27.73782485,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.027737825,136.7431976,-110.7431976,-247.4863952,-347.2897843,99.8033891,0.026303209,I2V-S1,-91,-101
22-05-2024 15:56,17.6013507,78.1270758,98,486,62,0,94877,29,39,SUNNY,62.8159752,107.6288323,509.1169733,0.2114425,161,6091.490594,17.6016011,78.1270648,27.73782485,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.027737825,136.7431976,-110.7431976,-247.4863952,-347.2897843,99.8033891,0.018014178,I2V-S1,-95,-103
